Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify 'Add New User' button with invalid username provided by admin,RE-106,10137,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 5:15 PM,08/Sep/21 10:02 AM,07/Sep/21 7:06 PM,08/Sep/21 10:02 AM,,0,‘Add New User’ button is available on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000tz:,,RE Sprint 1,,,,,,,,Done
Verify 'Add New User' button is properly working or not,RE-105,10136,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 5:08 PM,08/Sep/21 10:02 AM,07/Sep/21 7:05 PM,08/Sep/21 10:02 AM,,0,‘Add New User’ button is available on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000tr:,,RE Sprint 1,,,,,,,,Done
Verify 'Add New User' button with empty username and email fields,RE-104,10135,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:58 PM,08/Sep/21 10:02 AM,07/Sep/21 7:05 PM,08/Sep/21 10:02 AM,,0,‘Add New User’ button is available on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000tj:,,RE Sprint 1,,,,,,,,Done
Verify that checkbox of 'Send User Notification' field is by default selected,RE-103,10134,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:50 PM,08/Sep/21 10:02 AM,08/Sep/21 6:37 AM,08/Sep/21 10:02 AM,,0,‘Send User Notification’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000tb:,,RE Sprint 1,,,,,,,,Done
Verify that 'Role' dropdown list is scrolled down by clicking down arrow key of the keyboard,RE-102,10133,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:41 PM,08/Sep/21 10:02 AM,07/Sep/21 7:04 PM,08/Sep/21 10:02 AM,,0,‘Role’ list is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000t3:,,RE Sprint 1,,,,,,,,Done
Verify 'Role' dropdown list having all the required options ,RE-101,10132,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:32 PM,08/Sep/21 10:02 AM,07/Sep/21 7:03 PM,08/Sep/21 10:02 AM,,0,‘Role’ list is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000sv:,,RE Sprint 1,,,,,,,,Done
Verify 'Role' dropdown list with default value as subscriber,RE-100,10131,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:26 PM,08/Sep/21 10:02 AM,07/Sep/21 7:02 PM,08/Sep/21 10:02 AM,,0,‘Role’ list is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000sn:,,RE Sprint 1,,,,,,,,Done
"Verify that the label of checkbox of 'Send User Notification' field, is correct or not as per requirement",RE-99,10130,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 4:20 PM,08/Sep/21 10:02 AM,08/Sep/21 6:36 AM,08/Sep/21 10:02 AM,,0,‘Send User Notification’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000sf:,,RE Sprint 1,,,,,,,,Done
Verify that admin can select or deselect the checkbox of 'Send User Notification' field,RE-98,10129,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 3:59 PM,08/Sep/21 10:01 AM,08/Sep/21 6:35 AM,08/Sep/21 10:01 AM,,0,‘Send User Notification’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000s7:,,RE Sprint 1,,,,,,,,Done
Verify 'strong' status of password field with string having length equal to or more than 11,RE-97,10128,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 3:54 PM,08/Sep/21 10:01 AM,07/Sep/21 7:00 PM,08/Sep/21 10:01 AM,,0,‘password’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000rz:,,RE Sprint 1,,,,,,,,Done
Verify 'medium' status of password field with string having length equal to 9 or 10,RE-96,10127,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 3:45 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘password’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000rr:,,RE Sprint 1,,,,,,,,Done
Verify 'weak' status of password field with string having length equal to 7 or 8 ,RE-95,10126,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 2:36 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘password’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000rj:,,RE Sprint 1,,,,,,,,Done
Verify 'very weak' status of password field with string of any length having same character,RE-94,10125,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 2:31 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘password’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000rb:,,RE Sprint 1,,,,,,,,Done
Verify 'very weak' status of password field with string of length equal to or less than 6,RE-93,10124,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 12:42 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘password’ field is available in the form on ‘Add New User’ page,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000r3:,,RE Sprint 1,,,,,,,,Done
"Verify that after clicking on 'Cancel' button, only 'show password' button is visible in the password field",RE-92,10123,Test,Done,RE,Real Estate,software,Sakshi Junnare,612ef81b6a4c09006a9fe331,,Medium,Done,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,Sakshi Junnare,612ef81b6a4c09006a9fe331,07/Sep/21 12:36 PM,08/Sep/21 10:01 AM,09/Sep/21 5:34 AM,08/Sep/21 10:01 AM,,0,‘Cancel' button is present in ‘password’ field on ‘Add New User’ page. ,,Sakshi Junnare,612ef81b6a4c09006a9fe331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i000qv:,,RE Sprint 1,,,,,,,,Done
